Date,Infra_Power_Grid,Infra_Construction,Infra_Materials,Infra_Supply,Infra
1976-10-31,51.54478675163945,11.842008229787766,,31.693397490713608,31.693397490713608
1976-11-30,54.81995630502044,11.842008229787766,,33.3309822674041,33.3309822674041
1976-12-31,58.745504697328926,11.842008229787766,,35.293756463558346,35.293756463558346
1977-01-31,61.10147691568319,12.50044217489661,,36.8009595452899,36.8009595452899
1977-02-28,57.82566358326309,12.50044217489661,,35.16305287907985,35.16305287907985
1977-03-31,54.29618274459357,12.50044217489661,,33.39831245974509,33.39831245974509
1977-04-30,52.46221185008554,13.775999623786024,,33.11910573693578,33.11910573693578
1977-05-31,52.319305386846366,13.775999623786024,,33.047652505316194,33.047652505316194
1977-06-30,54.1591183979226,13.775999623786024,,33.96755901085431,33.96755901085431
1977-07-31,56.18051859334737,14.227586831943437,,35.20405271264541,35.20405271264541
1977-08-31,55.795926957126824,14.227586831943437,,35.01175689453513,35.01175689453513
1977-09-30,54.581231600941955,14.227586831943437,,34.404409216442694,34.404409216442694
1977-10-31,53.37157319226199,14.649351911224613,,34.0104625517433,34.0104625517433
1977-11-30,53.55871199103175,14.649351911224613,,34.10403195112818,34.10403195112818
1977-12-31,57.735147214436516,14.649351911224613,,36.19224956283057,36.19224956283057
1978-01-31,60.65663788177333,15.129012142875926,,37.89282501232463,37.89282501232463
1978-02-28,60.619684813102594,15.129012142875926,,37.87434847798926,37.87434847798926
1978-03-31,57.76361299899243,15.129012142875926,,36.446312570934175,36.446312570934175
1978-04-30,53.454860753469276,16.418608386674457,,34.93673457007186,34.93673457007186
1978-05-31,53.304955138879095,16.418608386674457,,34.86178176277677,34.86178176277677
1978-06-30,55.17060013765068,16.418608386674457,,35.794604262162565,35.794604262162565
1978-07-31,55.92872495584551,17.131407914715044,,36.530066435280276,36.530066435280276
1978-08-31,57.31494373441327,17.131407914715044,,37.22317582456416,37.22317582456416
1978-09-30,56.35222194911191,17.131407914715044,,36.741814931913474,36.741814931913474
1978-10-31,54.74893433611972,17.7222151042522,,36.23557472018596,36.23557472018596
1978-11-30,55.75820822078789,17.7222151042522,,36.740211662520046,36.740211662520046
1978-12-31,58.989767087621885,17.7222151042522,,38.35599109593704,38.35599109593704
1979-01-31,63.47655270721078,17.9843250196751,,40.73043886344294,40.73043886344294
1979-02-28,64.12560442140337,17.9843250196751,,41.05496472053923,41.05496472053923
1979-03-31,60.31210195461212,17.9843250196751,,39.14821348714361,39.14821348714361
1979-04-30,57.56798554292259,18.31228465673466,,37.94013509982862,37.94013509982862
1979-05-31,54.889199171776504,18.31228465673466,,36.60074191425558,36.60074191425558
1979-06-30,55.367744586405244,18.31228465673466,,36.84001462156995,36.84001462156995
1979-07-31,55.882543916671125,18.900798695491506,,37.391671306081314,37.391671306081314
1979-08-31,57.42219756005717,18.900798695491506,,38.16149812777434,38.16149812777434
1979-09-30,55.53671441276788,18.900798695491506,,37.21875655412969,37.21875655412969
1979-10-31,55.24215811153387,18.880740623763046,,37.06144936764846,37.06144936764846
1979-11-30,56.36525970818158,18.880740623763046,,37.623000165972314,37.623000165972314
1979-12-31,58.48333979674396,18.880740623763046,,38.682040210253504,38.682040210253504
1980-01-31,60.614128031575646,18.559787405806215,,39.58695771869093,39.58695771869093
1980-02-29,61.37475457253108,18.559787405806215,,39.96727098916865,39.96727098916865
1980-03-31,60.05719017328258,18.559787405806215,,39.3084887895444,39.3084887895444
1980-04-30,55.38629857360603,16.62245891515135,,36.004378744378684,36.004378744378684
1980-05-31,53.30374263772116,16.62245891515135,,34.96310077643625,34.96310077643625
